index,transaction,internalid
142,OSF-BRSP NFS-e-39,3352194
143,OSF-BRSP NFS-e-3583,3352197
144,OSF-BRSP NFS-e-3585,3355035
145,OSF-BRSP NFS-e-3563,3336518
146,OSF-BRSP NFS-e-3584,3355036
147,OSF-BRSP NFS-e-3586,3373884
148,OSF-BRSP NFS-e-3547,3241032
149,OSF-BRSP NFS-e-35,3344424
150,OSF-BRSP NFS-e-20,3326322
151,OSF-BRF NFS-e-5705,3321542
152,OSF-BRF NFS-e-5691,3279001
153,OSF-BRF NFS-e-5735,3382510	
154,OSF-BRSP NFS-e-3572,3339649
155,OSF-BRSP NFS-e-40,3355034
156,OSF-BRSP NFS-e-3523,3228230
157,OSF-BRF NFS-e-5733,3384058
158,OSF-BRF NFS-e-5731,3380023
159,OSF-BRF NFS-e-5732,3379910
160,OSF-BRF NFS-e-5726,3379315
161,OSF-BRF NFS-e-5743,3389681
162,OSF-BRF NFS-e-5689,3280664
163,OSF-BRF NFS-e-5670,3234055
164,OSF-BRSP NFS-e-45,3421828
165,OSF-BRSP NFS-e-49,3429864
166,OSF-BRSP NFS-e-50,3429863
167,OSF-BRSP NFS-e-48,3429866
168,OSF-BRSP NFS-e-51,3431343
169,OSF-BRSP NFS-e-57,3429867
170,OSF-BRSP NFS-e-54,3431342
171,OSF-BRSP NFS-e-52,3431347
172,OSF-BRSP NFS-e-59,3429870
173,OSF-BRSP NFS-e-56,3429868
174,OSF-BRSP NFS-e-58,3429869
175,OSF-BRSP NFS-e-55,3431349
176,OSF-BRSP NFS-e-53,3431348
177,OSF-BRSP NFS-e-69,3448364
178,OSF-BRSP NFS-e-70,3448365
179,OSF-BRSP NFS-e-68,3444683
180,OSF-BRSP NFS-e-3570,3339644	
181,OSF-BRSP NFS-e-3580,3352075
182,OSF-BRSP NFS-e-71,3389783
183,OSF-BRSP NFS-e-64,3444684
184,OSF-BRSP NFS-e-65,3444685
185,OSF-BRSP NFS-e-66,3447635
186,OSF-BRF NFS-e-5722,3346504
187,OSF-BRSP NFS-e-67,3452272
188,OSF-BRSP NFS-e-73,3447636
189,OSF-BRSP NFS-e-62,3431751
190,OSF-BRSP NFS-e-60,3454207
191,OSF-BRSP NFS-e-74,3452273
192,OSF-BRSP NFS-e-75,3454205
193,OSF-BRSP NFS-e-76,3454206
194,OSF-BRSP NFS-e-81,3452274
195,OSF-BRSP NFS-e-44,3421522
196,OSF-BRSP NFS-e-78,3454204
197,OSF-BRSP NFS-e-80,3454203
198,OSF-BRF NFS-e-5688,3280663
199,OSF-BRSP NFS-e-61,3437940
200,OSF-BRSP NFS-e-47,3429862
201,OSF-BRSP NFS-e-3571,3339648
202,OSF-BRSP NFS-e-63,3431341
203,OSF-BRSP NFS-e-84,3502553
204,OSF-BRSP NFS-e-90,3502776
205,OSF-BRSP NFS-e-89,3502674
206,OSF-BRSP NFS-e-98,3502552
207,OSF-BRSP NFS-e-94,3520570
208,OSF-BRSP NFS-e-93,3520571
209,OSF-BRSP NFS-e-103,3551563
210,OSF-BRSP NFS-e-95,3548567
211,OSF-BRSP NFS-e-101,3551565
212,OSF-BRSP NFS-e-100,3551564
213,OSF-BRSP NFS-e-102,3551566
214,OSF-BRSP NFS-e-118,3558907
215,OSF-BRSP NFS-e-112,3520566
216,OSF-BRSP NFS-e-113,3520567
